cuisines,has_online_delivery,is_book_form_web_view,votes,name,switch_to_order_menu,has_table_booking,currency,rating_text,city_id,average_cost_for_two,has_fake_reviews,price_range,address,locality_verbose,aggregate_rating,latitude,country_id,is_table_reservation_supported,rating_color,url,longitude
"Mughlai, North Indian, Chinese",1,0,146,Moti Mahal Delux,0,0,Rs.,Very Good,24,600,0,3,"Second Floor, Vinayak City Center Mall, SP Marg, Civil Lines, Allahabad","Vinayak City Centre Mall, Civil Lines, Allahabad",4.0,25.4546205413,1,0,5BA829,https://www.zomato.com/allahabad/moti-mahal-delux-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8346456438
"Mughlai, North Indian, Chinese, South Indian",1,0,83,Moti Mahal Delux Tandoori Trail,0,0,Rs.,Good,24,800,0,3,"Shop 18A, Second Floor, Sardar Patel Marg, Above HDFC Bank, Civil Lines, Allahabad","Civil Lines, Allahabad",3.8,25.4598222303,1,0,9ACD32,https://www.zomato.com/allahabad/moti-mahal-delux-tandoori-trail-1-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8356451020
Desserts,1,0,123,Kamdhenu Sweets,0,0,Rs.,Very Good,24,400,0,2,"37, MG Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.2,25.4504264534,1,0,5BA829,https://www.zomato.com/allahabad/kamdhenu-sweets-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8321894109
"Beverages, Ice Cream, Desserts",1,0,75,Keventers,0,0,Rs.,Very Good,24,400,0,2,"202/45, MG Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.1,25.4502693312,1,0,5BA829,https://www.zomato.com/allahabad/keventers-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8335325271
"North Indian, Chinese",1,0,62,Bliss Restro,0,0,Rs.,Good,24,500,0,3,"262, Araman Market, Mahewa, Naini, Allahabad","Naini, Allahabad",3.5,25.4100959364,1,0,9ACD32,https://www.zomato.com/allahabad/bliss-restro-naini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8446167558
South Indian,0,0,162,Dosa Plaza,0,0,Rs.,Very Good,24,400,0,2,"9, Under Ground , VV Tower, Tashkand Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.0,25.4530181833,1,0,5BA829,https://www.zomato.com/allahabad/dosa-plaza-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8327841908
"North Indian, South Indian, Chinese, Fast Food",1,0,130,Gay Time Family Restaurant,0,0,Rs.,Good,24,500,0,3,"Shop 1-3, Elgin Road, Civil Lines, Allahabad","Civil Lines, Allahabad",3.7,25.4528970898,1,0,9ACD32,https://www.zomato.com/allahabad/gay-time-family-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8366070092
North Indian,0,0,99,The Second Wife,0,0,Rs.,Average,24,500,0,3,"0/18/1B, Lowther Road, George Town, George Town, Allahabad","George Town, Allahabad",2.6,25.4491945978,1,0,FFBA00,https://www.zomato.com/allahabad/the-second-wife-george-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8542311341
North Indian,1,0,103,Shamiana's,0,0,Rs.,Good,24,300,0,2,"Manorama Complex, MG Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",3.6,25.4502841655,1,0,9ACD32,https://www.zomato.com/allahabad/shamianas-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8329588696
North Indian,1,0,17,Nawab Ki Rasoi,0,0,Rs.,Average,24,250,0,2,"Dhobi Ghat, Opposite Petrol Pump, Sheeshah, Mahal Tower, Civil Lines, Allahabad","Civil Lines, Allahabad",3.4,25.4593330000,1,0,CDD614,https://www.zomato.com/allahabad/nawab-ki-rasoi-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8380000000
"Mithai, North Indian, Street Food",1,0,50,Shree Kanha Sweets & Restaurant,0,0,Rs.,Very Good,24,500,0,3,"Lowther Road, George Town, Allahabad","George Town, Allahabad",4.0,25.4490299054,1,0,5BA829,https://www.zomato.com/allahabad/shree-kanha-sweets-restaurant-george-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8545027077
"Rolls, Fast Food",1,0,100,Rolls Mania,0,0,Rs.,Good,24,450,0,2,"76-A, Muir Road, Opposite Rishikul Inter College, Ashok Nagar, Allahabad","Ashok Nagar, Allahabad",3.9,25.4669101270,1,0,9ACD32,https://www.zomato.com/allahabad/rolls-mania-ashok-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8252146617
"North Indian, South Indian, Chinese, Continental",1,0,95,Chill Lounge ,0,0,Rs.,Good,24,800,0,3,"Stretchy Road, Near Vishal Mega Mart, Civil Lines, Allahabad","Civil Lines, Allahabad",3.6,25.4519407497,1,0,9ACD32,https://www.zomato.com/allahabad/chill-lounge-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8326507509
Fast Food,1,0,45,Harish Bhojanalaya & Restaurant,0,0,Rs.,Good,24,300,0,2,"Near Girls High School, Dr Lohia Road, Civil Lines, Allahabad","Civil Lines, Allahabad",3.8,25.4527929493,1,0,9ACD32,https://www.zomato.com/allahabad/harish-bhojanalaya-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8288242444
Fast Food,1,0,80,Tuck In,0,0,Rs.,Good,24,250,0,2,"22-A, Sardar Patel Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",3.7,25.4541788581,1,0,9ACD32,https://www.zomato.com/allahabad/tuck-in-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8349688500
"North Indian, South Indian, Chinese, Continental, Fast Food, Sandwich",1,0,70,Indish,0,0,Rs.,Good,24,500,0,3,"Lifafa, Patrika Crossing, Near Rama Medical Store, Stanly Road, Civil Lines, Allahabad","Civil Lines, Allahabad",3.7,25.4546462733,1,0,9ACD32,https://www.zomato.com/allahabad/indish-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8411774933
"Cafe, Fast Food",1,0,55,Cafe Ballon D'OR,0,0,Rs.,Good,24,500,0,3,"Indalpur Road, Naini, Allahabad","Naini, Allahabad",3.8,25.4096498502,1,0,9ACD32,https://www.zomato.com/allahabad/cafe-ballon-dor-naini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8450073525
"Biryani, Mughlai",1,0,145,Allahabad Biryani Centre,0,0,Rs.,Good,24,400,0,2,"7/E, Shankar Tower, Clive Road, Near Jwala Devi Inter collage, Civil Lines, Allahabad. Opp. Samsung mobile service centre.","Civil Lines, Allahabad",3.8,25.4549446106,1,0,9ACD32,https://www.zomato.com/allahabad/allahabad-biryani-centre-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8309326172
"Pizza, Fast Food, Beverages",1,0,41,The London Shakes And Cafe,0,0,Rs.,Good,24,300,0,2,"Shop 11, Tulsiani Grace Mall, Civil Lines, Allahabad","Civil Lines, Allahabad",3.9,25.4542580000,1,0,9ACD32,https://www.zomato.com/allahabad/the-london-shakes-and-cafe-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8333300000
"North Indian, South Indian, Chinese, Fast Food",1,0,57,Rajwada's,0,0,Rs.,Good,24,700,0,3,"203/170/1, Near Anand Bhawan, Colonel Ganj, Allahabad","Colonel Ganj, Allahabad",3.6,25.4608184660,1,0,9ACD32,https://www.zomato.com/allahabad/rajwadas-colonel-ganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8594292551
"North Indian, Chinese, Mughlai",1,0,50,Khana Khazana Restaurant & Cafe,0,0,Rs.,Good,24,450,0,2,"Plot 25, Near Javed Habib, Tashkand Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",3.8,25.4555702209,1,0,9ACD32,https://www.zomato.com/allahabad/khana-khazana-restaurant-cafe-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8336334229
"North Indian, South Indian, Chinese",1,0,55,Reserveseats,0,0,Rs.,Good,24,700,0,3,"12/22/1, Master Zaharool Hasan Road, Mufordganj, Katra, Allahabad","Katra, Allahabad",3.8,25.4726282705,1,0,9ACD32,https://www.zomato.com/allahabad/reserveseats-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8573153391
"Italian, Continental, Beverages",1,0,15,Coffee Machine The Cafe,0,0,Rs.,Good,24,250,0,2,"54, Sardar Patel Marg, Sriram Complex, Ground Floor, Civil Lines, Allahabad","Civil Lines, Allahabad",3.7,25.4571012000,1,0,9ACD32,https://www.zomato.com/allahabad/coffee-machine-the-cafe-1-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8353669000
"Cafe, Fast Food",1,0,72,Bean Here,0,0,Rs.,Good,24,350,0,2,"215/180B/1, Muir Road, Ashok Nagar, Allahabad","Ashok Nagar, Allahabad",3.8,25.4673269422,1,0,9ACD32,https://www.zomato.com/allahabad/bean-here-ashok-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8226266652
North Indian,1,0,41,Zaika Biryani Ka,0,0,Rs.,Good,24,200,0,1,"696/820/1, Near Sabji Mandi, Colonel Ganj, Allahabad","Colonel Ganj, Allahabad",3.9,25.4605390000,1,0,9ACD32,https://www.zomato.com/allahabad/zaika-biryani-ka-1-colonel-ganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8563660000
"North Indian, Chinese",1,0,85,Old Town,0,0,Rs.,Good,24,500,0,3,"60 H/2, Thornhill Road 
Civil lines Allahabad., Civil Lines, Allahabad","Civil Lines, Allahabad",3.5,25.4597068953,1,0,9ACD32,https://www.zomato.com/allahabad/old-town-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8351602927
North Indian,1,0,91,Maharani Zaika,0,0,Rs.,Good,24,500,0,3,"257A/12, M.G. Marg, Near Medical Chauraha, Georgetown, Allahabad","George Town, Allahabad",3.8,25.4463608884,1,0,9ACD32,https://www.zomato.com/allahabad/maharani-zaika-1-george-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8517769128
"South Indian, Cafe",0,0,112,Indian Coffee House,0,0,Rs.,Good,24,200,0,1,"15, MG Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",3.9,25.4505142480,1,0,9ACD32,https://www.zomato.com/allahabad/indian-coffee-house-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8298401311
"North Indian, South Indian, Chinese",1,0,75,Dilli Galiyara,0,0,Rs.,Average,24,800,0,3,"20-22, 2nd Floor, Vinayak City Centre Mall, Sardar Patel Marg, Civil Lines, Allahabad","Vinayak City Centre Mall, Civil Lines, Allahabad",3.4,25.4546229631,1,0,CDD614,https://www.zomato.com/allahabad/dilli-galiyara-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8346443027
North Indian,0,0,72,Makkhan's,0,0,Rs.,Very Good,24,1000,0,4,"8, 9 Tulsiani Grace, 25 Edmonston Road, Civil Lines, Allahabad","Civil Lines, Allahabad",4.0,25.4546070099,1,0,5BA829,https://www.zomato.com/allahabad/makkhans-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8334579468
"Pizza, Salad, Beverages",1,0,36,U S PIZZA,0,0,Rs.,Average,24,700,0,3,"792/599, Mumfordganj, Katra, Allahabad","Katra, Allahabad",3.3,25.4750480000,1,0,CDD614,https://www.zomato.com/allahabad/u-s-pizza-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8582670000
"South Indian, North Indian, Chinese",1,0,40,Dosa Plaza,0,0,Rs.,Good,24,500,0,3,"21/2/C, 1st Floor, Master Zahrul hasan Road, Laxmi Talkies Chauraha, Above Patanjali Shop, Katra, Allahabad","Katra, Allahabad",3.6,25.4686303509,1,0,9ACD32,https://www.zomato.com/allahabad/dosa-plaza-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8549851701
"North Indian, Chinese, Beverages",1,0,56,Shahi Darbar Restaurant,0,0,Rs.,Good,24,450,0,2,"30, Tashkent Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",3.6,25.4563666725,1,0,9ACD32,https://www.zomato.com/allahabad/shahi-darbar-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8338788673
Cafe,1,0,62,Kaffe Kona,0,0,Rs.,Very Good,24,400,0,2,"Near Agricultural Khan Crossing, Mahewa, Naini, Allahabad","Naini, Allahabad",4.0,25.4115365444,1,0,5BA829,https://www.zomato.com/allahabad/kaffe-kona-naini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8435619771
"North Indian, Chinese",1,0,25,Blue Spark,0,0,Rs.,Good,24,250,0,2,"1st Floor, 22/138, M.G. Road, Behind Bank of Baroda, Civil Lines, Allahabad","Civil Lines, Allahabad",3.6,25.4515647888,1,0,9ACD32,https://www.zomato.com/allahabad/blue-spark-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8331909180
North Indian,0,0,122,Spicy Bite,0,0,Rs.,Very Good,24,400,0,2,"Indira Bhawan, Sardar Patel Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.0,25.4496505281,1,0,5BA829,https://www.zomato.com/allahabad/spicy-bite-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8352571875
"South Indian, North Indian, Chinese",1,0,91,Dosa Plaza,0,0,Rs.,Good,24,500,0,3,"F1, Vinayak Pushp, Elgin Road, Civil Lines, Allahabad","Civil Lines, Allahabad",3.5,25.4529845798,1,0,9ACD32,https://www.zomato.com/allahabad/dosa-plaza-1-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8327865377
"Fast Food, North Indian, Continental, Beverages, Mithai",0,0,105,Kalptaru Sweets N Bakery,0,0,Rs.,Good,24,450,0,2,"134/1, Jhulelal Nagar, Lukerganj, Allahabad","Lukerganj, Allahabad",3.9,25.4527875001,1,0,9ACD32,https://www.zomato.com/allahabad/kalptaru-sweets-n-bakery-lukerganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8347153813
North Indian,1,0,44,Handi,0,0,Rs.,Good,24,300,0,2,"32 Nomani House, George Town, Allahabad","George Town, Allahabad",3.7,25.4511737823,1,0,9ACD32,https://www.zomato.com/allahabad/handi-george-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8571472168
"North Indian, Chinese, Italian, Continental",0,0,85,Relish Restaurant- The Legend Hotel,0,0,Rs.,Very Good,24,1100,0,4,"The Legend Hotel, First Floor, 23 C, Thornhill Road, Civil Lines, Allahabad","The Legend Hotel, Allahabad",4.0,25.4604739770,1,0,5BA829,https://www.zomato.com/allahabad/relish-restaurant-the-legend-hotel-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8332995102
"North Indian, Mughlai",0,0,87,Higgins,0,0,Rs.,Very Good,24,600,0,3,"Near Khan Chauraha, Mahewa, Naini, Allahabad","Naini, Allahabad",4.0,25.4107827788,1,0,5BA829,https://www.zomato.com/allahabad/higgins-naini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8438208103
"North Indian, Mughlai",1,0,37,Muktanandam Moti Mahal Delux,0,0,Rs.,Good,24,750,0,3,"77A/29, Lal Bahadur Shastri Marg, Near Vishal Mega Mart, Civil Lines, Allahabad","Civil Lines, Allahabad",3.9,25.4520324788,1,0,9ACD32,https://www.zomato.com/allahabad/muktanandam-moti-mahal-delux-1-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8326272815
"North Indian, Chinese",0,0,103,Hotel Kanha Shyam,0,0,Rs.,Good,24,900,0,3,"Allahabad HO, Civil Lines, Allahabad","Civil Lines, Allahabad",3.8,25.4575657608,1,0,9ACD32,https://www.zomato.com/allahabad/hotel-kanha-shyam-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8356263265
"Fast Food, North Indian, South Indian, Continental",1,0,24,Chaat Chatore,0,0,Rs.,Average,24,250,0,2,"792/599, Mumfordganj, Allahabad Katra, Allahabad","Katra, Allahabad",2.9,25.4750480000,1,0,FFBA00,https://www.zomato.com/allahabad/chaat-chatore-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8582670000
"North Indian, South Indian, Chinese, Continental",1,0,26,Kailash Parbat,0,0,Rs.,Good,24,400,0,2,"46/3, Sardar Patel Marg, Civil Lines, Allahabad (Opposite World of Titan & Above Puma Store)","Civil Lines, Allahabad",3.7,25.4519153199,1,0,9ACD32,https://www.zomato.com/allahabad/kailash-parbat-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8349494040
North Indian,1,0,65,Jai Shri Shankar Bhojnalaya,0,0,Rs.,Good,24,300,0,2,"18/A M.G.Road, Civil Lines Allahabad","Civil Lines, Allahabad",3.9,25.4509526145,1,0,9ACD32,https://www.zomato.com/allahabad/jai-shri-shankar-bhojnalaya-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8309059739
North Indian,1,0,54,Vilayat Cafe Lounge & Restro,0,0,Rs.,Average,24,850,0,3,"9C/7, Lala Lajpat Rai Road, Near Tripathi Chauraha, Allahabad","Katra, Allahabad",2.9,25.4742019154,1,0,FFBA00,https://www.zomato.com/allahabad/vilayat-cafe-lounge-restro-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8515371904
"South Indian, North Indian",1,0,37,Balaji Idli House,0,0,Rs.,Good,24,500,0,3,"285/132, Near Kundan Guest House, Tagore Town, Allahabad","Tagore Town, Allahabad",3.8,25.4586249808,1,0,9ACD32,https://www.zomato.com/allahabad/balaji-idli-house-tagore-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8656221405
"North Indian, South Indian, Chinese",1,0,67,Hotel Ravisha Continental,0,0,Rs.,Good,24,600,0,3,"57 A, Purshottamdas Tandon Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",3.9,25.4524678124,1,0,9ACD32,https://www.zomato.com/allahabad/hotel-ravisha-continental-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8237119541
"Burger, Sandwich, Fast Food",1,0,11,USPFC,0,0,Rs.,Good,24,200,0,1,"Lower Ground, Kharbanda Complex, Building 1, Sardar Patel Marg Civil Lines, Allahabad","Civil Lines, Allahabad",3.8,25.4480640000,1,0,9ACD32,https://www.zomato.com/allahabad/uspfc-2-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8343370000
"North Indian, Desserts",1,0,30,Kanha Sweets & Restaurant,0,0,Rs.,Good,24,400,0,2,"48/B , Katra, Allahabad","Katra, Allahabad",3.6,25.4647536000,1,0,9ACD32,https://www.zomato.com/allahabad/kanha-sweets-restaurant-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8522768000
